,T,theta0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,mean_loss,loss_successes_percent
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,13.098928,0.2
0,10.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,20.800632,0.2
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,16.82771,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,16.831244,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,17.066301,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,17.43077,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,16.83259,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,16.726648,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,16.191765,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,16.829004,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,16.838995,0.0
0,15.0,5,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,16.699272,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,14.07487,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,14.079135,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,14.290926,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,24.95426,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,14.076376,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,14.283849,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,16.313915,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,14.07752,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,13.721517,0.0
0,15.0,25,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,31.830456,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,no_reg,1,1,,10.871336,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,1,,10.873285,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,100,,21.169569,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,unstable_fp,1,10000,,25.084301,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,1,,10.868785,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,100,,29.265524,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative,1,10000,,12.893211,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,1,,10.871448,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,100,,25.200005,0.0
0,15.0,100,"(4, 50)",tanh,0.001,1024,50000,reg_derivative_unstable_fp,1,10000,,24.869406,0.0
