,Unnamed: 0,"(theta0, omega0)",converged to,closest fp,stability,success,theta0,omega0,converged to with reg,closest fp with reg,stability with reg,success reg
0,0,"(276.34286574230896, -4.69116549223655)","(-0.009360130876302719, -0.01060969103127718)","(0.0, 0.0)",unstable,False,276.34286574230896,-4.69116549223655,"(0.008855176158249378, 0.008495619520545006)","(0.0, 0.0)",unstable,False
1,0,"(30.935732054960752, -4.113917177618362)","(0.0030774895567446947, -0.001383826369419694)","(0.0, 0.0)",unstable,False,30.935732054960752,-4.113917177618362,"(0.00037479549064300954, -0.00577545166015625)","(0.0, 0.0)",unstable,False
2,0,"(344.33672847253246, -19.417225876807642)","(-0.0010882325004786253, -0.0020018380600959063)","(0.0, 0.0)",unstable,False,344.33672847253246,-19.417225876807642,"(-0.0002238497108919546, -0.009695632383227348)","(0.0, 0.0)",unstable,False
3,0,"(85.1846261609308, -5.872249500531894)","(0.00014440304948948324, 0.0005357341142371297)","(0.0, 0.0)",unstable,False,85.1846261609308,-5.872249500531894,"(-0.008749977685511112, -0.009040716104209423)","(0.0, 0.0)",unstable,False
4,0,"(219.01864614234955, -0.12105203856572064)","(0.0021391957998275757, -0.0035243877209722996)","(0.0, 0.0)",unstable,False,219.01864614234955,-0.12105203856572064,"(0.0006122618797235191, -0.00380767066963017)","(0.0, 0.0)",unstable,False
5,0,"(281.42530910884784, 21.9202184812219)","(-0.008541537448763847, -0.010178642347455025)","(0.0, 0.0)",unstable,False,281.42530910884784,21.9202184812219,"(0.0006204702076502144, -0.0072782002389431)","(0.0, 0.0)",unstable,False
6,0,"(287.5645740404052, -11.293763959722396)","(-0.0009348168969154358, -0.0025146573316305876)","(0.0, 0.0)",unstable,False,287.5645740404052,-11.293763959722396,"(0.0026477575302124023, 0.0018719189101830125)","(0.0, 0.0)",unstable,False
7,0,"(66.13562929152654, -4.076026639405705)","(-0.00037976205931045115, 0.0009177109459415078)","(0.0, 0.0)",unstable,False,66.13562929152654,-4.076026639405705,"(0.0006981994956731796, 0.00017669747467152774)","(0.0, 0.0)",unstable,False
8,0,"(34.261969908877724, 4.706156129916338)","(-0.002917404053732753, -0.0017158451955765486)","(0.0, 0.0)",unstable,False,34.261969908877724,4.706156129916338,"(-0.0022382817696779966, -0.006536266300827265)","(0.0, 0.0)",unstable,False
9,0,"(103.42873532462711, -4.977964632833057)","(0.003400609362870455, 0.0002557945845182985)","(0.0, 0.0)",unstable,False,103.42873532462711,-4.977964632833057,"(0.0009089376544579864, 0.012137873098254204)","(0.0, 0.0)",unstable,False
10,0,"(41.28302896606429, -0.8075288562278671)","(2.933107316493988e-05, 0.0010914044687524438)","(0.0, 0.0)",unstable,False,41.28302896606429,-0.8075288562278671,"(-0.002052467782050371, -0.0033478804398328066)","(0.0, 0.0)",unstable,False
