,T,network_architectures,activations,learning_rates,collocations,epochs,reg_percentages,mean_loss,loss_successes_percent
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.0,0.6824806,0.0
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.5,0.3141738,0.55
0,7.5,"(4, 50)",tanh,0.001,1024,10000,0.95,0.7456573,0.3
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.0,0.7682792,0.0
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.5,0.68522626,0.1
0,10.0,"(4, 50)",tanh,0.001,1024,10000,0.95,0.83015615,0.0
0,15.0,"(4, 50)",tanh,0.001,1024,10000,0.0,0.84203225,0.0
0,15.0,"(4, 50)",tanh,0.001,1024,10000,0.5,1.290656,0.1
0,15.0,"(4, 50)",tanh,0.001,1024,10000,0.95,0.91974866,0.0
