,Unnamed: 0,"(x0, x_t0)",converged to,closest fp,stability,success,x0,x_t0,converged to with reg,closest fp with reg,stability with reg,success with reg
22,0,"(0.6108152437670995, 0.3939846870988695)","(0.5786507725715637, 2.572885036468506)",,,False,0.6108152437670995,0.3939846870988695,"(-1.1381034851074219, 1.046993374824524)",None,None,True
23,0,"(-0.3574352864815339, 1.5771073210612558)","(-1.3782775402069092, 0.86744225025177)",,,True,-0.3574352864815339,1.5771073210612558,"(-1.0782902240753174, 1.0803372859954834)",None,None,True
24,0,"(-0.5364971103820866, -1.0051769140789835)","(0.1434749811887741, -2.0245680809020996)",,,True,-0.5364971103820866,-1.0051769140789835,"(1.06576669216156, -1.1138012409210205)",None,None,True
25,0,"(1.1766433885036414, -1.0304796485332417)","(1.8332064151763916, -0.5503875017166138)",,,True,1.1766433885036414,-1.0304796485332417,"(1.069252610206604, -1.1059659719467163)",None,None,True
26,0,"(-0.25029896332331425, -0.06115084676890278)","(-0.971671462059021, -2.660794973373413)",,,False,-0.25029896332331425,-0.06115084676890278,"(1.3922353982925415, -0.8528776168823242)",None,None,True
27,0,"(-1.4811347818396547, 1.3230822307346155)","(-0.926007091999054, -2.2882819175720215)",,,False,-1.4811347818396547,1.3230822307346155,"(-1.1170547008514404, 1.0759680271148682)",None,None,True
28,0,"(0.9107937252285887, 0.8475306348042072)","(0.7692349553108215, 2.6643643379211426)",,,True,0.9107937252285887,0.8475306348042072,"(-1.0769413709640503, 1.0968921184539795)",None,None,True
29,0,"(1.4247212966189178, -0.45217841509187584)","(1.9956334829330444, -0.11093088239431381)",,,True,1.4247212966189178,-0.45217841509187584,"(1.1264820098876953, -1.05637526512146)",None,None,True
30,0,"(1.1863629400414797, 0.28849015429260766)","(1.8836629390716553, 0.9799079895019531)",,,True,1.1863629400414797,0.28849015429260766,"(-1.181823492050171, 1.005826473236084)",None,None,True
31,0,"(0.053180936830646196, -1.9883927886266277)","(1.2405942678451538, -0.968528151512146)",,,True,0.053180936830646196,-1.9883927886266277,"(1.2182209491729736, -0.98792964220047)",None,None,True
32,0,"(0.33786417177845923, 2.537255092902895)","(-1.106241226196289, 1.0611424446105957)",,,True,0.33786417177845923,2.537255092902895,"(-1.3148733377456665, 0.9056093096733093)",None,None,True
33,0,"(0.3402328515877339, -2.4258336826740687)","(1.49082350730896, -0.7882785797119141)",,,True,0.3402328515877339,-2.4258336826740687,"(1.2943775653839111, -0.9337142109870911)",None,None,True
34,0,"(-0.02554322102510168, 0.5242051245975722)","(-0.029278945177793503, -0.020226961001753807)","(0.0, 0.0)",unstable,False,-0.02554322102510168,0.5242051245975722,"(-1.1028962135314941, 1.0734901428222656)",None,None,True
35,0,"(-0.6799427714199555, 0.17301563768139186)","(-1.8752130270004272, 0.49347925186157227)",,,True,-0.6799427714199555,0.17301563768139186,"(-1.2373965978622437, 0.9705678820610046)",None,None,True
36,0,"(-0.17420696203732328, -0.3408399494287279)","(0.009120089933276176, 0.004295852035284042)","(0.0, 0.0)",unstable,False,-0.17420696203732328,-0.3408399494287279,"(1.173313856124878, -1.0182883739471436)",None,None,True
37,0,"(-1.1044886488614098, 0.13491706437370551)","(-2.0206587314605713, 0.16290631890296936)",,,True,-1.1044886488614098,0.13491706437370551,"(-1.2903194427490234, 0.930830180644989)",None,None,True
38,0,"(0.33076357397653794, 0.3406710057076335)","(-0.002030692994594574, -0.0005676659638993442)","(0.0, 0.0)",unstable,False,0.33076357397653794,0.3406710057076335,"(-1.1220614910125732, 1.0567305088043213)",None,None,True
39,0,"(-0.9099819941499793, -1.2762727251739965)","(-0.14661742746829987, -2.303739070892334)",,,True,-0.9099819941499793,-1.2762727251739965,"(1.076315999031067, -1.0983307361602783)",None,None,True
40,0,"(-0.9221770291744195, 1.2140965035188342)","(-0.5579690337181091, -1.7505642175674438)",,,False,-0.9221770291744195,1.2140965035188342,"(-1.109844446182251, 1.0782495737075806)",None,None,True
41,0,"(0.8953916488595829, 0.24991270202789345)","(1.9591236114501953, 0.509689450263977)",,,True,0.8953916488595829,0.24991270202789345,"(-1.2235658168792725, 0.9862364530563354)",None,None,True
42,0,"(0.5027281502350051, -0.5764771876752295)","(0.028464922681450844, 0.02156192995607853)","(0.0, 0.0)",unstable,False,0.5027281502350051,-0.5764771876752295,"(1.0968339443206787, -1.0804365873336792)",None,None,True
43,0,"(-0.5582125698661166, -2.1200681919230107)","(0.8142253160476685, -1.3346000909805298)",,,True,-0.5582125698661166,-2.1200681919230107,"(1.2423927783966064, -0.9699075818061829)",None,None,True
44,0,"(0.23981046221199784, 0.6404442522017524)","(-0.013859164901077747, -0.007841268554329872)","(0.0, 0.0)",unstable,False,0.23981046221199784,0.6404442522017524,"(-1.1366233825683594, 1.0693581104278564)",None,None,True
45,0,"(1.2693237630189316, 0.4900846764476681)","(-0.023190919309854507, 0.0002006388094741851)","(0.0, 0.0)",unstable,False,1.2693237630189316,0.4900846764476681,"(-1.106806755065918, 1.0731977224349976)",None,None,True
46,0,"(0.2271580773768594, -0.32034451167855366)","(0.012182521633803844, 0.012945815920829773)","(0.0, 0.0)",unstable,False,0.2271580773768594,-0.32034451167855366,"(1.1671079397201538, -1.0236941576004028)",None,None,True
47,0,"(0.2530308612556601, 1.2727011549458753)","(-0.801470935344696, 1.3331048488616943)",,,True,0.2530308612556601,1.2727011549458753,"(-1.0796177387237549, 1.0948768854141235)",None,None,True
48,0,"(-0.732219887133927, -1.0242147803175787)","(0.058365751057863235, 0.03417692333459854)","(0.0, 0.0)",unstable,False,-0.732219887133927,-1.0242147803175787,"(1.0696563720703125, -1.1014944314956665)",None,None,True
49,0,"(-0.41025645081690726, 0.7365377706616026)","(-0.03977232426404953, -0.029982293024659157)","(0.0, 0.0)",unstable,False,-0.41025645081690726,0.7365377706616026,"(-1.0450538396835327, 1.109688401222229)",None,None,True
50,0,"(-0.6116814242578175, 0.712664873780117)","(-0.03662297874689102, -0.025041978806257248)","(0.0, 0.0)",unstable,False,-0.6116814242578175,0.712664873780117,"(-1.0671509504318237, 1.1024391651153564)",None,None,True
51,0,"(0.6665766373553018, 0.8025409899782016)","(-0.03127612546086311, -0.010452556423842907)","(0.0, 0.0)",unstable,False,0.6665766373553018,0.8025409899782016,"(-1.0746715068817139, 1.0939582586288452)",None,None,True
