,"(x0, x_t0)",converged to,closest fp,stability,success
0,"(-0.7507839843821495, -1.2681263857469964)","(0.0409780852496624, -2.122087240219116)",,,True
0,"(0.6108152437670995, 0.3939846870988695)","(0.5786507725715637, 2.572885036468506)",,,False
0,"(-0.3574352864815339, 1.5771073210612558)","(-1.3782775402069092, 0.86744225025177)",,,True
0,"(-0.5364971103820866, -1.0051769140789835)","(0.1434749811887741, -2.0245680809020996)",,,True
0,"(1.1766433885036414, -1.0304796485332417)","(1.8332064151763916, -0.5503875017166138)",,,True
0,"(-0.25029896332331425, -0.06115084676890278)","(-0.971671462059021, -2.660794973373413)",,,False
0,"(-1.4811347818396547, 1.3230822307346155)","(-0.926007091999054, -2.2882819175720215)",,,False
0,"(0.9107937252285887, 0.8475306348042072)","(0.7692349553108215, 2.6643643379211426)",,,True
0,"(1.4247212966189178, -0.45217841509187584)","(1.9956334829330444, -0.11093088239431381)",,,True
0,"(1.1863629400414797, 0.28849015429260766)","(1.8836629390716553, 0.9799079895019531)",,,True
0,"(0.053180936830646196, -1.9883927886266277)","(1.2405942678451538, -0.968528151512146)",,,True
0,"(0.33786417177845923, 2.537255092902895)","(-1.106241226196289, 1.0611424446105957)",,,True
0,"(0.3402328515877339, -2.4258336826740687)","(1.49082350730896, -0.7882785797119141)",,,True
0,"(-0.02554322102510168, 0.5242051245975722)","(-0.029278945177793503, -0.020226961001753807)","(0.0, 0.0)",unstable,False
0,"(-0.6799427714199555, 0.17301563768139186)","(-1.8752130270004272, 0.49347925186157227)",,,True
0,"(-0.17420696203732328, -0.3408399494287279)","(0.009120089933276176, 0.004295852035284042)","(0.0, 0.0)",unstable,False
0,"(-1.1044886488614098, 0.13491706437370551)","(-2.0206587314605713, 0.16290631890296936)",,,True
0,"(0.33076357397653794, 0.3406710057076335)","(-0.002030692994594574, -0.0005676659638993442)","(0.0, 0.0)",unstable,False
0,"(-0.9099819941499793, -1.2762727251739965)","(-0.14661742746829987, -2.303739070892334)",,,True
0,"(-0.9221770291744195, 1.2140965035188342)","(-0.5579690337181091, -1.7505642175674438)",,,False
0,"(0.8953916488595829, 0.24991270202789345)","(1.9591236114501953, 0.509689450263977)",,,True
0,"(0.5027281502350051, -0.5764771876752295)","(0.028464922681450844, 0.02156192995607853)","(0.0, 0.0)",unstable,False
0,"(-0.5582125698661166, -2.1200681919230107)","(0.8142253160476685, -1.3346000909805298)",,,True
0,"(0.23981046221199784, 0.6404442522017524)","(-0.013859164901077747, -0.007841268554329872)","(0.0, 0.0)",unstable,False
0,"(1.2693237630189316, 0.4900846764476681)","(-0.023190919309854507, 0.0002006388094741851)","(0.0, 0.0)",unstable,False
0,"(0.2271580773768594, -0.32034451167855366)","(0.012182521633803844, 0.012945815920829773)","(0.0, 0.0)",unstable,False
0,"(0.2530308612556601, 1.2727011549458753)","(-0.801470935344696, 1.3331048488616943)",,,True
