,Unnamed: 0,"(x0, y0)",converged to,closest fp,stability,success,x0,y0,converged to with reg,closest fp with reg,stability with reg,success with reg
0,0,"(0.3337297276843456, -0.7254401681834463)","(-0.0002970278146676719, 1.9968544244766235)","(0.0, 2.0)",stable,False,0.3337297276843456,-0.7254401681834463,"(0.00969836674630642, 1.9920705556869507)","(0.0, 2.0)",stable,False
1,0,"(0.17110949163060038, 0.3891592624172857)","(0.0001102209062082693, 0.00018133521371055394)","(0.0, 0.0)",unstable,False,0.17110949163060038,0.3891592624172857,"(3.123283477179939e-06, 2.000504970550537)","(0.0, 2.0)",stable,True
2,0,"(-0.9316426952173674, 0.07562441886018266)","(0.9757519960403442, 1.0169719457626343)","(1.0, 1.0)",unstable,False,-0.9316426952173674,0.07562441886018266,"(1.7189662456512451, 0.5516606569290161)",None,None,False
3,0,"(0.3552473081672652, 0.7934792974823692)","(0.26516905426979065, 1.6364185810089111)",,,False,0.3552473081672652,0.7934792974823692,"(0.00027382970438338816, 1.998509168624878)","(0.0, 2.0)",stable,True
4,0,"(-0.15709054606145811, 0.4763448169993564)","(-0.0015364378923550248, 0.0033450783230364323)","(0.0, 0.0)",unstable,False,-0.15709054606145811,0.4763448169993564,"(0.8426796197891235, 1.1144146919250488)",None,None,False
5,0,"(-0.25293365187408057, -0.21247790597866797)","(-0.03909676522016525, -0.05447336286306381)","(0.0, 0.0)",unstable,False,-0.25293365187408057,-0.21247790597866797,"(-0.03562765195965767, -0.049512602388858795)","(0.0, 0.0)",unstable,False
6,0,"(0.8178213587896507, -0.9435541336483884)","(2.9976646900177, 7.16328650014475e-05)","(3.0, 0.0)",stable,True,0.8178213587896507,-0.9435541336483884,"(3.006483554840088, -0.006386375520378351)","(3.0, 0.0)",stable,True
7,0,"(0.5602521913436753, 0.37625720940024143)","(2.6975183486938477, 0.1101442351937294)",,,False,0.5602521913436753,0.37625720940024143,"(2.3964226245880127, 0.2241518199443817)",None,None,False
8,0,"(0.7308670696518796, 0.03529960388440797)","(0.0067234160378575325, -0.0015915706753730774)","(0.0, 0.0)",unstable,False,0.7308670696518796,0.03529960388440797,"(2.9990618228912354, -0.001422099769115448)","(3.0, 0.0)",stable,True
9,0,"(-0.25528025809894084, -0.3202813007957742)","(-0.04195433109998703, -0.09063366800546646)","(0.0, 0.0)",unstable,False,-0.25528025809894084,-0.3202813007957742,"(-0.03702015429735184, -0.08529418706893921)","(0.0, 0.0)",unstable,False
10,0,"(0.7097123769366229, 0.05643709341261529)","(3.002652406692505, -0.001196064054965973)","(3.0, 0.0)",stable,True,0.7097123769366229,0.05643709341261529,"(2.9956870079040527, -0.0034066340886056423)","(3.0, 0.0)",stable,True
11,0,"(0.18395815113372052, 0.9988053008969021)","(-0.0014867514837533236, 2.0025432109832764)","(0.0, 2.0)",stable,True,0.18395815113372052,0.9988053008969021,"(0.00020234585099387914, 1.9995346069335938)","(0.0, 2.0)",stable,True
12,0,"(0.28334763056799517, -0.17215741964991724)","(0.0033560036681592464, -0.002300271298736334)","(0.0, 0.0)",unstable,False,0.28334763056799517,-0.17215741964991724,"(0.0026221275329589844, 2.0002403259277344)","(0.0, 2.0)",stable,False
13,0,"(0.39195512665857124, 0.010547861252052463)","(0.0009010374778881669, -0.0011000180384144187)","(0.0, 0.0)",unstable,False,0.39195512665857124,0.010547861252052463,"(3.0004076957702637, -0.0005881149554625154)","(3.0, 0.0)",stable,True
14,0,"(-0.260360912532387, 0.04717260110148329)","(-0.0023845494724810123, -0.0003159843327011913)","(0.0, 0.0)",unstable,False,-0.260360912532387,0.04717260110148329,"(2.768580675125122, 0.08398685604333878)",None,None,False
15,0,"(-0.13592884353494913, 0.005640654707269635)","(-0.007705813739448786, 0.0014725688379257917)","(0.0, 0.0)",unstable,False,-0.13592884353494913,0.005640654707269635,"(-0.0407639816403389, 0.23677709698677063)",None,None,False
16,0,"(-0.288054966474206, -0.09456847773447669)","(-0.03991604968905449, -0.019020024687051773)","(0.0, 0.0)",unstable,False,-0.288054966474206,-0.09456847773447669,"(-0.0390949510037899, -0.014273717999458313)","(0.0, 0.0)",unstable,False
17,0,"(-0.521623036870627, 0.3767282235338902)","(-0.0029327869415283203, 0.0019689141772687435)","(0.0, 0.0)",unstable,False,-0.521623036870627,0.3767282235338902,"(0.9817405939102173, 1.01926589012146)","(1.0, 1.0)",unstable,False
18,0,"(-0.9003255950872543, 0.8570014786552949)","(0.0003201603831257671, 1.9987423419952393)","(0.0, 2.0)",stable,True,-0.9003255950872543,0.8570014786552949,"(0.0020672560203820467, 1.9986321926116943)","(0.0, 2.0)",stable,True
19,0,"(0.5919179514086761, -0.31988636588028335)","(0.005035281181335449, -0.004722237586975098)","(0.0, 0.0)",unstable,False,0.5919179514086761,-0.31988636588028335,"(2.996807813644409, 0.0)","(3.0, 0.0)",stable,True
