,"(x0, y0)",converged to,closest fp,stability,success
0,"(0.7644984717891037, 2.0693285273831594)","(0.0007264375453814864, 2.0004501342773438)","(0.0, 2.0)",stable,True
0,"(0.5709262605744563, 1.8788995013887644)","(-1.95741649804404e-05, 1.999798059463501)","(0.0, 2.0)",stable,True
0,"(-0.5235478697817557, 2.265412793285737)","(-0.0014935970539227128, 2.0002408027648926)","(0.0, 2.0)",stable,True
0,"(-0.8727108364979008, 1.4534957128134343)","(-0.00031809211941435933, 1.9998493194580078)","(0.0, 2.0)",stable,True
0,"(-0.08580824863981724, 1.5695398893747785)","(-6.943642802070826e-05, 2.000213384628296)","(0.0, 2.0)",stable,True
0,"(0.22859556498268033, 3.0140976950793066)","(-0.0008561640861444175, 1.9981768131256104)","(0.0, 2.0)",stable,True
0,"(0.7884888562668313, 2.5091811127258827)","(0.005025637336075306, 1.9977149963378906)","(0.0, 2.0)",stable,True
0,"(0.21162532344726073, 2.8332753235959705)","(0.00021573752746917307, 2.000121593475342)","(0.0, 2.0)",stable,True
0,"(0.5715258946059282, 2.3386166511129276)","(6.433725502574816e-05, 2.000098705291748)","(0.0, 2.0)",stable,True
0,"(2.1950090671071054, -0.45154793161247414)","(2.999037265777588, -7.961094524944201e-05)","(3.0, 0.0)",stable,True
0,"(3.4821561973260824, 0.1503813585268369)","(2.9999735355377197, -8.269995305454358e-05)","(3.0, 0.0)",stable,True
0,"(2.0177311330633017, -0.38547454949117366)","(2.9999732971191406, 0.0001666635216679424)","(3.0, 0.0)",stable,True
0,"(2.309179262414231, 0.5122575451032098)","(2.9997386932373047, 0.0005193233373574913)","(3.0, 0.0)",stable,True
0,"(3.2620613040722124, 0.5911695542881403)","(3.0002033710479736, 0.0003336310328450054)","(3.0, 0.0)",stable,True
0,"(3.0616280248022067, 0.4493763464247423)","(2.9998884201049805, 0.00021796821965835989)","(3.0, 0.0)",stable,True
0,"(2.3381320480928833, 0.7917788966450368)","(2.9995179176330566, -0.0008500814437866211)","(3.0, 0.0)",stable,True
0,"(3.3099795068434723, -0.18333521258659627)","(3.0002379417419434, -0.0006296500796452165)","(3.0, 0.0)",stable,True
0,"(3.5130520963628795, 0.8049284320003555)","(2.9982547760009766, -0.001554340124130249)","(3.0, 0.0)",stable,True
0,"(2.65863552841883, 0.11892270683511345)","(3.0004167556762695, -0.00012792200141120702)","(3.0, 0.0)",stable,True
0,"(3.724967927528091, -0.08318074142236354)","(2.9994218349456787, 0.0006211839499883354)","(3.0, 0.0)",stable,True
0,"(3.7644984717891035, 0.06932852738315962)","(3.0001959800720215, 5.129426790517755e-05)","(3.0, 0.0)",stable,True
0,"(3.5709262605744563, -0.12110049861123552)","(2.9990627765655518, 0.00023904070258140564)","(3.0, 0.0)",stable,True
0,"(2.4764521302182443, 0.2654127932857373)","(2.9989876747131348, 9.969771053874865e-05)","(3.0, 0.0)",stable,True
0,"(2.127289163502099, -0.5465042871865657)","(3.0003244876861572, 0.00016516447067260742)","(3.0, 0.0)",stable,True
0,"(2.9141917513601827, -0.4304601106252215)","(2.9999020099639893, 0.0002277582825627178)","(3.0, 0.0)",stable,True
0,"(3.2285955649826805, 1.0140976950793066)","(2.9988999366760254, -0.0007094621541909873)","(3.0, 0.0)",stable,True
0,"(3.7884888562668313, 0.5091811127258825)","(3.0000064373016357, -0.00014166832261253148)","(3.0, 0.0)",stable,True
0,"(3.2116253234472607, 0.8332753235959703)","(2.9995551109313965, 0.0001503348321421072)","(3.0, 0.0)",stable,True
0,"(3.5715258946059283, 0.33861665111292777)","(2.999811887741089, -0.00015197395987343043)","(3.0, 0.0)",stable,True
