,Unnamed: 0,"(x0, y0)",converged to,closest fp,stability,success,x0,y0,converged to with reg,closest fp with reg,stability with reg,success with reg
0,0,"(0.03112063128863286, -0.10954499580032034)","(0.00044252871884964406, -0.0004093468305654824)","(0.0, 0.0)",unstable,False,0.03112063128863286,-0.10954499580032034,"(-0.0015822738641873002, 1.9961780309677124)","(0.0, 2.0)",stable,False
1,0,"(0.9503238774049931, 0.396953092084744)","(2.997817039489746, 0.00041579006938263774)","(3.0, 0.0)",stable,True,0.9503238774049931,0.396953092084744,"(2.998690128326416, -0.0011034250492230058)","(3.0, 0.0)",stable,True
2,0,"(0.24489036295499728, 0.03568521257815262)","(0.003648108337074518, 0.0003150455595459789)","(0.0, 0.0)",unstable,False,0.24489036295499728,0.03568521257815262,"(1.1637837886810303, 0.8885102272033691)",None,None,False
3,0,"(-0.5898248013148364, -0.189331600504306)","(-0.12416587024927139, -0.027007680386304855)",,,False,-0.5898248013148364,-0.189331600504306,"(-0.1369997262954712, -0.029431229457259178)",None,None,False
4,0,"(0.191725504307027, 0.5620304685294462)","(0.0012785762082785368, 0.002845203969627619)","(0.0, 0.0)",unstable,False,0.191725504307027,0.5620304685294462,"(-3.4511090234445874e-06, 1.9997234344482422)","(0.0, 2.0)",stable,True
5,0,"(-0.13591105094633593, 0.25957884179440033)","(-0.0012327193981036544, 0.0020577609539031982)","(0.0, 0.0)",unstable,False,-0.13591105094633593,0.25957884179440033,"(0.46728864312171936, 1.4295068979263306)",None,None,False
6,0,"(-0.040784471076806196, 0.17264157250067874)","(-0.00038991792825981975, 0.0018478691345080733)","(0.0, 0.0)",unstable,False,-0.040784471076806196,0.17264157250067874,"(0.0003318585513625294, 2.0000438690185547)","(0.0, 2.0)",stable,True
7,0,"(0.2002948402929318, -0.4884175100029652)","(0.0012534887064248323, -0.005355215165764093)","(0.0, 0.0)",unstable,False,0.2002948402929318,-0.4884175100029652,"(0.0001424849033355713, 2.003916025161743)","(0.0, 2.0)",stable,False
8,0,"(0.1715641641570666, 1.4080457735552354)","(9.587407475919463e-06, 2.0001964569091797)","(0.0, 2.0)",stable,True,0.1715641641570666,1.4080457735552354,"(0.0002387642889516428, 2.0004191398620605)","(0.0, 2.0)",stable,True
9,0,"(0.702473307233152, 0.03767795485310627)","(0.0030048489570617676, -0.0020891339518129826)","(0.0, 0.0)",unstable,False,0.702473307233152,0.03767795485310627,"(2.9990267753601074, -0.0008070856565609574)","(3.0, 0.0)",stable,True
10,0,"(0.6692417733488066, 0.571585008987334)","(2.373122453689575, 0.2390632927417755)",,,False,0.6692417733488066,0.571585008987334,"(2.9962048530578613, -0.0004314303514547646)","(3.0, 0.0)",stable,True
11,0,"(-0.4845151522380238, -0.6979367888734949)","(-0.10724477469921112, -0.2615951895713806)",,,False,-0.4845151522380238,-0.6979367888734949,"(-0.12513837218284607, -0.2759639322757721)",None,None,False
12,0,"(-0.7889636241802429, -0.15873496778399485)","(-0.21695446968078613, 0.007990089245140553)",,,False,-0.7889636241802429,-0.15873496778399485,"(-0.19228866696357727, 0.010612058453261852)",None,None,False
13,0,"(-0.317175708738031, -0.4037207570425423)","(-0.06523818522691727, -0.1258186399936676)",,,False,-0.317175708738031,-0.4037207570425423,"(-0.05763804167509079, -0.12396569550037384)",None,None,False
14,0,"(0.0489193304080623, -0.056861447415195936)","(0.00012572556443046778, 0.0001392818958265707)","(0.0, 0.0)",unstable,False,0.0489193304080623,-0.056861447415195936,"(0.002544501330703497, 1.9960048198699951)","(0.0, 2.0)",stable,False
15,0,"(0.4377038645137576, -0.7012084752335656)","(0.003206914756447077, -0.004041528794914484)","(0.0, 0.0)",unstable,False,0.4377038645137576,-0.7012084752335656,"(0.007870960049331188, 1.9909026622772217)","(0.0, 2.0)",stable,False
16,0,"(-0.06111211448170309, 0.36320634007880065)","(-0.00012263729877304286, 0.0007357954746112227)","(0.0, 0.0)",unstable,False,-0.06111211448170309,0.36320634007880065,"(0.770682156085968, 1.1727688312530518)",None,None,False
17,0,"(-0.3083174345390026, -0.6707309323528082)","(-0.0645357072353363, -0.25103604793548584)",,,False,-0.3083174345390026,-0.6707309323528082,"(-0.05950721353292465, -0.2420140504837036)",None,None,False
18,0,"(0.20122136078039204, -0.22592043286014146)","(0.0022549063432961702, -0.002639582846313715)","(0.0, 0.0)",unstable,False,0.20122136078039204,-0.22592043286014146,"(-0.00013351142115425318, 2.0082340240478516)","(0.0, 2.0)",stable,False
