,Unnamed: 0,"(x0, y0)",converged to,closest fp,stability,success,x0,y0,converged to with reg,closest fp with reg,stability with reg,success with reg
0,0,"(-0.12976257475399525, 0.029747083592197923)","(-0.0010338753927499056, -0.00017611384100746363)","(0.0, 0.0)",unstable,False,-0.12976257475399525,0.029747083592197923,"(2.9975638389587402, 0.00029414630262181163)","(3.0, 0.0)",stable,False
1,0,"(0.30939816439966417, 0.6545677402802392)","(0.9963473081588745, 1.0019004344940186)","(1.0, 1.0)",unstable,False,0.30939816439966417,0.6545677402802392,"(0.00035797953023575246, 1.99972665309906)","(0.0, 2.0)",stable,True
2,0,"(2.9298356466728842e-05, -0.12736579578608534)","(0.0001374557032249868, -0.0009377569076605141)","(0.0, 0.0)",unstable,False,2.9298356466728842e-05,-0.12736579578608534,"(0.0009985137730836868, 1.9975799322128296)","(0.0, 2.0)",stable,False
3,0,"(0.11508511897109903, 0.2918399570867304)","(0.0011733680730685592, 0.0028567910194396973)","(0.0, 0.0)",unstable,False,0.11508511897109903,0.2918399570867304,"(0.00026635528774932027, 1.9999700784683228)","(0.0, 2.0)",stable,True
4,0,"(0.44583286588712717, -0.004004458771279362)","(0.001673793769441545, 5.113007500767708e-05)","(0.0, 0.0)",unstable,False,0.44583286588712717,-0.004004458771279362,"(2.71645450592041, 0.10373862087726593)",None,None,False
5,0,"(-0.2614085742668302, -0.3785157761291301)","(-0.04960549995303154, -0.11672501266002655)",,,False,-0.2614085742668302,-0.3785157761291301,"(-0.0439344123005867, -0.10993994772434235)",None,None,False
6,0,"(0.09202730365081792, 0.28251668247976414)","(0.0009582251077517867, 0.003908229060471058)","(0.0, 0.0)",unstable,False,0.09202730365081792,0.28251668247976414,"(0.00019566566334106028, 1.9991718530654907)","(0.0, 2.0)",stable,True
7,0,"(0.014826231826662858, -0.24032125414013578)","(0.00012003145820926875, -0.0019753039814531803)","(0.0, 0.0)",unstable,False,0.014826231826662858,-0.24032125414013578,"(-0.0009322495898231864, 1.996074914932251)","(0.0, 2.0)",stable,False
8,0,"(-0.390477128827321, -0.5560904834069826)","(-0.0945858508348465, -0.20671458542346954)",,,False,-0.390477128827321,-0.5560904834069826,"(-0.056322403252124786, -0.16671353578567505)",None,None,False
9,0,"(-0.19272026379197707, -0.08646582801603409)","(-0.022831568494439125, -0.016784658655524254)","(0.0, 0.0)",unstable,False,-0.19272026379197707,-0.08646582801603409,"(-0.01940188743174076, -0.0087575139477849)","(0.0, 0.0)",unstable,False
