,"(x0, y0)",converged to,closest fp,stability,success
0,"(-0.06060242726314717, 0.05476082347154453)","(-8.687675290275365e-05, 0.00046522318734787405)","(0.0, 0.0)",unstable,False
0,"(0.15533915286114605, 0.27814211282477835)","(0.0015030056238174438, 0.002780181122943759)","(0.0, 0.0)",unstable,False
0,"(0.006941554882456393, -0.5142521899551584)","(0.0008938568644225597, -0.006469368934631348)","(0.0, 0.0)",unstable,False
0,"(-0.0691118727444458, 0.23800650913264274)","(-0.0011888534063473344, 0.0018811256159096956)","(0.0, 0.0)",unstable,False
0,"(-0.09329791700810086, 0.28466278353347774)","(-0.0007107064011506736, 0.0018011570209637284)","(0.0, 0.0)",unstable,False
0,"(-0.050594530930700064, -0.022486380214342776)","(-0.0018909156788140535, -0.0019350331276655197)","(0.0, 0.0)",unstable,False
0,"(-0.4121548001608972, 0.009905030096670153)","(-0.05951924994587898, 0.014547395519912243)","(0.0, 0.0)",unstable,False
0,"(0.04812774571173621, -0.23337858671503534)","(-3.6320088838692755e-05, -0.0022377222776412964)","(0.0, 0.0)",unstable,False
0,"(-0.7450260502225429, -0.05079073676011564)","(-0.16870887577533722, 0.06503383070230484)",,,False
0,"(0.24509036645191773, 0.457795451999109)","(0.003282493446022272, 0.005804938264191151)","(0.0, 0.0)",unstable,False
0,"(-0.12716757591055539, 0.3656073810001408)","(-0.0011036157375201583, 0.0020570040214806795)","(0.0, 0.0)",unstable,False
0,"(0.6104600279560638, 0.16764807262442954)","(0.0029644132591784, 0.0001887589751277119)","(0.0, 0.0)",unstable,False
0,"(-0.40489937748604105, -0.10736454043649894)","(-0.07564054429531097, -0.02166699431836605)","(0.0, 0.0)",unstable,False
0,"(-0.029337623859166516, 0.2977532534882048)","(-0.0006987865781411529, 0.0021422444842755795)","(0.0, 0.0)",unstable,False
0,"(-0.17223776280555098, -0.3658802442980396)","(-0.025138478726148605, -0.10065023601055145)",,,False
0,"(0.08768411626069203, -0.05464975417316026)","(0.0013195842038840055, -0.0016283162403851748)","(0.0, 0.0)",unstable,False
0,"(-0.35574068985176127, -0.14142965749268666)","(-0.061090171337127686, -0.03277914598584175)","(0.0, 0.0)",unstable,False
0,"(-0.2984204009086969, 0.0811874645346934)","(-0.00278494949452579, -0.00028068869141861796)","(0.0, 0.0)",unstable,False
0,"(0.539691411250697, -0.5705394487414439)","(0.01224584598094225, -0.014512347988784313)","(0.0, 0.0)",unstable,False
0,"(-0.3093693650681304, 0.1475666441283048)","(-0.0032668053172528744, 0.0008434861665591598)","(0.0, 0.0)",unstable,False
0,"(0.12565541287576665, -0.06353696852259703)","(0.0013731062645092607, -0.00012433827214408666)","(0.0, 0.0)",unstable,False
0,"(-0.2615475282169765, -0.10504431539301862)","(-0.03590293973684311, -0.02171800658106804)","(0.0, 0.0)",unstable,False
0,"(-0.16850260071541664, 0.585012846863654)","(-0.0021737038623541594, 0.0025054574944078922)","(0.0, 0.0)",unstable,False
0,"(-0.2184912427942061, 0.24195367700296885)","(-0.0024170218966901302, 0.002855354454368353)","(0.0, 0.0)",unstable,False
0,"(-0.30878154387125584, -0.30389650353912606)","(-0.060197390615940094, -0.09070338308811188)","(0.0, 0.0)",unstable,False
0,"(0.27980907441868735, -0.4878874835573153)","(0.006177544593811035, -0.006654423661530018)","(0.0, 0.0)",unstable,False
0,"(0.15490835256262028, 0.38024182067700496)","(0.0018639832269400358, 0.0020800172351300716)","(0.0, 0.0)",unstable,False
0,"(-0.08189994923810158, 0.606247853193798)","(0.00011138767149532214, 0.003469276474788785)","(0.0, 0.0)",unstable,False
0,"(0.10944770994913301, 0.05955062468063)","(0.0008985191816464067, 0.0004510655999183655)","(0.0, 0.0)",unstable,False
0,"(-0.010925930694050337, 0.1260687585255638)","(-0.0003898203431162983, 0.001192019903101027)","(0.0, 0.0)",unstable,False
0,"(-0.34207512991187405, -0.27794635723293626)","(-0.06541368365287781, -0.08113712817430496)","(0.0, 0.0)",unstable,False
0,"(0.013181888834749534, -0.5787219191710907)","(0.00027174782007932663, 2.0004894733428955)","(0.0, 2.0)",stable,False
0,"(0.13693443455990695, -0.18215056224906856)","(0.002153345849364996, -0.003069564700126648)","(0.0, 0.0)",unstable,False
0,"(-0.1307163321022079, -0.33295913211711053)","(-0.017661917954683304, -0.08544689416885376)","(0.0, 0.0)",unstable,False
0,"(-0.5648244071701808, 0.30701392368777963)","(0.4490310549736023, 1.4514706134796143)",,,False
0,"(-0.1736124674577509, 0.12543257459568266)","(-0.0009448766941204667, 0.0018009364139288664)","(0.0, 0.0)",unstable,False
0,"(0.257090870116547, -0.1922595831248546)","(0.00166959164198488, -0.002482149051502347)","(0.0, 0.0)",unstable,False
0,"(-0.35751249505174915, -0.16419769718873922)","(-0.06387239694595337, -0.040458500385284424)","(0.0, 0.0)",unstable,False
0,"(-0.19144544625872817, -0.5335005241892151)","(-0.031515080481767654, -0.1659812033176422)",,,False
0,"(0.005396518293282871, 0.293223833653862)","(8.315285958815366e-05, 0.0025988579727709293)","(0.0, 0.0)",unstable,False
0,"(-0.20646534830462435, 0.1888779341836611)","(-0.0027499557472765446, 0.0021130084060132504)","(0.0, 0.0)",unstable,False
0,"(0.26091547725522507, 0.028618698422718972)","(0.001475179218687117, -0.0008866038406267762)","(0.0, 0.0)",unstable,False
0,"(0.775525739389312, 0.3201608080949973)","(1.1813148260116577, 0.8816629648208618)",,,False
0,"(-0.4086168017688503, 0.3897857876949444)","(-0.00396003108471632, 0.0028107166290283203)","(0.0, 0.0)",unstable,False
0,"(0.469983093221315, 0.1262842292608601)","(0.002180940005928278, -0.0020719736348837614)","(0.0, 0.0)",unstable,False
0,"(-0.8013477889417038, -0.2232713109490272)","(-0.23253552615642548, -0.026305485516786575)",,,False
0,"(-0.08018583602318459, 0.15844208877772165)","(-0.0005177631974220276, 0.002419003751128912)","(0.0, 0.0)",unstable,False
0,"(-0.042574685365281084, 0.21368226996450518)","(0.00012847482867073268, 0.0016183555126190186)","(0.0, 0.0)",unstable,False
0,"(0.3052423187112386, -0.39610038656823854)","(0.001294165849685669, -0.0020100711844861507)","(0.0, 0.0)",unstable,False
0,"(0.15524247196596108, -0.28347886680223155)","(0.002899482846260071, -0.003203529166057706)","(0.0, 0.0)",unstable,False
0,"(0.5170054402642632, 1.128275112641143)","(0.9521462321281433, 1.034990668296814)","(1.0, 1.0)",unstable,False
0,"(1.2892937183956494, 1.370086057583501)","(0.9960276484489441, 1.0027790069580078)","(1.0, 1.0)",unstable,False
0,"(0.41063867983798097, 0.8118580604853289)","(0.9836372137069702, 1.0108649730682373)","(1.0, 1.0)",unstable,False
0,"(0.5855075574485387, 0.9401303146296397)","(0.9946304559707642, 1.0045720338821411)","(1.0, 1.0)",unstable,False
0,"(1.1572367824433274, 0.35235189317298554)","(2.8421053886413574, 0.06086704134941101)",,,False
0,"(1.036976814881324, 0.596495625490663)","(1.019439458847046, 0.9875776171684265)","(1.0, 1.0)",unstable,False
0,"(0.6028792288557299, 0.9861873800422211)","(0.9932900667190552, 1.0043972730636597)","(1.0, 1.0)",unstable,False
0,"(1.1859877041060836, 0.8280688151595745)","(1.0152533054351807, 0.9897416830062866)","(1.0, 1.0)",unstable,False
0,"(1.3078312578177278, 1.3812022968202715)","(0.9935644865036011, 1.004540205001831)","(1.0, 1.0)",unstable,False
0,"(0.7951813170512978, 0.7899039789336182)","(1.00177001953125, 1.000328779220581)","(1.0, 1.0)",unstable,False
0,"(1.4349807565168544, 1.301711241587371)","(0.9971897006034851, 1.0013710260391235)","(1.0, 1.0)",unstable,False
0,"(1.458699083073462, 0.9627445352477504)","(1.0069150924682617, 0.994763970375061)","(1.0, 1.0)",unstable,False
0,"(1.3425557563446737, 1.0424006404070254)","(1.0039535760879517, 0.9985407590866089)","(1.0, 1.0)",unstable,False
0,"(0.6858712781309466, 1.2790307450780176)","(0.9680549502372742, 1.0237343311309814)","(1.0, 1.0)",unstable,False
0,"(0.4763734981012595, 1.0577773590224908)","(0.9777370691299438, 1.0148528814315796)","(1.0, 1.0)",unstable,False
0,"(0.9485150508161097, 1.0580446966211463)","(0.9965311884880066, 1.0020885467529297)","(1.0, 1.0)",unstable,False
0,"(1.1371573389896081, 1.1603776302160713)","(0.9969687461853027, 1.0017828941345215)","(1.0, 1.0)",unstable,False
0,"(1.4730933137600988, 0.8829850069198829)","(1.007506012916565, 0.9934835433959961)","(1.0, 1.0)",unstable,False
0,"(1.1269751940683563, 1.5801274014069275)","(-0.0018336295615881681, 0.00042214393033646047)","(0.0, 0.0)",unstable,False
0,"(1.3429155367635568, 0.9149712126052806)","(1.0105271339416504, 0.9919074177742004)","(1.0, 1.0)",unstable,False
0,"(0.7290712410325155, 0.8319737797666097)","(0.9972027540206909, 1.0017001628875732)","(1.0, 1.0)",unstable,False
0,"(1.0902288151161021, 0.5362838077915061)","(3.0041251182556152, 0.0005789995193481445)","(3.0, 0.0)",stable,True
0,"(0.7687152703052959, 1.3406828648017644)","(0.9758974313735962, 1.016475796699524)","(1.0, 1.0)",unstable,False
0,"(1.3073545270619258, 1.195321777621947)","(1.0015701055526733, 1.0005156993865967)","(1.0, 1.0)",unstable,False
0,"(1.354701732572884, 1.1219599561564526)","(1.0031898021697998, 0.9988061189651489)","(1.0, 1.0)",unstable,False
0,"(1.2696258078548452, 1.396772206978727)","(0.9961835741996765, 1.0030508041381836)","(1.0, 1.0)",unstable,False
0,"(1.475067337987022, 0.5782727720431287)","(1.0321638584136963, 0.9781225919723511)","(1.0, 1.0)",unstable,False
0,"(0.8899988724480422, 0.9766708720979369)","(0.998031735420227, 1.0014257431030273)","(1.0, 1.0)",unstable,False
0,"(1.4829570592002133, 1.6338857461018252)","(0.008322644047439098, 0.00812544859945774)","(0.0, 0.0)",unstable,False
0,"(1.0713536241010682, 0.984850950855624)","(1.00296950340271, 0.9980341792106628)","(1.0, 1.0)",unstable,False
0,"(0.9500915551465818, 0.996897877006611)","(0.998984694480896, 1.0002435445785522)","(1.0, 1.0)",unstable,False
0,"(1.0415971164298958, 1.5188577227767053)","(0.9830766916275024, 1.0125068426132202)","(1.0, 1.0)",unstable,False
0,"(0.9273397008332587, 0.6481756709723132)","(1.971459984779358, 0.42497092485427856)",,,False
