,T,y0,network_architectures,activations,learning_rates,collocations,epochs,regularization,reg_epochs,reg_coeff,reg_decay,-1.0,0.0,1.0,mean_loss,loss_successes_percent
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,1.0,linear,0,0,0,0.081765175,0.5
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,10.0,linear,0,0,2,0.07471809,0.55
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,100.0,linear,1,0,1,0.110666886,0.4
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.25,1000.0,linear,0,1,4,0.092182755,0.35
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,0.1,linear,0,0,3,0.09397886,0.4
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1.0,linear,0,0,3,0.10478952,0.45
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,10.0,linear,0,0,5,0.04572732,0.6
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,100.0,linear,1,0,3,0.13518001,0.3
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.5,1000.0,linear,0,0,4,0.0568591,0.5
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,0.1,linear,2,0,5,0.2596715,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,1.0,linear,1,0,5,0.21641514,0.05
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,10.0,linear,1,0,10,0.14351436,0.1
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,100.0,linear,3,0,8,0.18983509,0.05
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,0.75,1000.0,linear,0,0,13,0.08326617,0.15
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,0.1,linear,9,0,11,0.4439001,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,1.0,linear,9,0,11,0.5355536,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,10.0,linear,10,0,10,0.64890325,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,100.0,linear,7,0,13,0.6042279,0.0
0,7.5,0.001,"(2, 20)",swish,0.001,1024,50000,reg_derivative_unstable_fp,1.0,1000.0,linear,10,0,10,0.74814165,0.0
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,0.1,linear,0,4,16,0.07802958,0.8
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1.0,linear,0,6,14,0.120553374,0.7
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,10.0,linear,1,5,9,0.2596098,0.45
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,100.0,linear,3,0,10,0.35642323,0.5
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.25,1000.0,linear,4,1,11,0.36951974,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,0.1,linear,0,4,16,0.07905497,0.8
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1.0,linear,0,2,10,0.21533604,0.5
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,10.0,linear,0,5,11,0.19819139,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,100.0,linear,2,0,17,0.15185857,0.85
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.5,1000.0,linear,9,0,11,0.53199863,0.55
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,0.1,linear,0,1,18,0.041434314,0.9
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,1.0,linear,0,0,14,0.1532324,0.7
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,10.0,linear,1,0,15,0.17652473,0.75
0,7.5,0.01,"(2, 20)",swish,0.001,1024,50000,unstable_fp,0.75,100.0,linear,12,0,7,0.760797,0.35
